/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Tue Feb 25 07:48:52 CET 2025
No. of cores = 64
No. of processes = 64
No. of OMP threads = 1
opt_iter: 128, opt_time: 10.2 (s), beta: 4, C: 10.025, V: 0.080, U: 0.000, change: 0.020
opt_iter: 129, opt_time: 9.91 (s), beta: 4, C: 10.008, V: 0.080, U: 0.000, change: 0.020
opt_iter: 130, opt_time: 10.2 (s), beta: 4, C: 9.992, V: 0.080, U: 0.000, change: 0.020
opt_iter: 131, opt_time: 9.72 (s), beta: 4, C: 9.977, V: 0.080, U: 0.000, change: 0.020
opt_iter: 132, opt_time: 10.2 (s), beta: 4, C: 9.962, V: 0.080, U: 0.000, change: 0.020
opt_iter: 133, opt_time: 9.92 (s), beta: 4, C: 9.949, V: 0.080, U: 0.000, change: 0.020
opt_iter: 134, opt_time: 10.1 (s), beta: 4, C: 9.936, V: 0.080, U: 0.000, change: 0.020
opt_iter: 135, opt_time: 9.96 (s), beta: 4, C: 9.924, V: 0.080, U: 0.000, change: 0.020
opt_iter: 136, opt_time: 10 (s), beta: 4, C: 9.913, V: 0.080, U: 0.000, change: 0.020
opt_iter: 137, opt_time: 10.2 (s), beta: 4, C: 9.902, V: 0.080, U: 0.000, change: 0.020
opt_iter: 138, opt_time: 10.3 (s), beta: 4, C: 9.892, V: 0.080, U: 0.000, change: 0.020
opt_iter: 139, opt_time: 9.77 (s), beta: 4, C: 9.882, V: 0.080, U: 0.000, change: 0.020
opt_iter: 140, opt_time: 10.3 (s), beta: 4, C: 9.873, V: 0.080, U: 0.000, change: 0.020
opt_iter: 141, opt_time: 10.2 (s), beta: 4, C: 9.864, V: 0.080, U: 0.000, change: 0.020
opt_iter: 142, opt_time: 10.3 (s), beta: 4, C: 9.856, V: 0.080, U: 0.000, change: 0.020
opt_iter: 143, opt_time: 9.77 (s), beta: 4, C: 9.849, V: 0.080, U: 0.000, change: 0.020
opt_iter: 144, opt_time: 10.3 (s), beta: 4, C: 9.842, V: 0.080, U: 0.000, change: 0.020
opt_iter: 145, opt_time: 10.2 (s), beta: 4, C: 9.835, V: 0.080, U: 0.000, change: 0.020
opt_iter: 146, opt_time: 10.3 (s), beta: 4, C: 9.829, V: 0.080, U: 0.000, change: 0.020
opt_iter: 147, opt_time: 9.79 (s), beta: 4, C: 9.823, V: 0.080, U: 0.000, change: 0.020
opt_iter: 148, opt_time: 10.3 (s), beta: 4, C: 9.817, V: 0.080, U: 0.000, change: 0.020
opt_iter: 149, opt_time: 10.2 (s), beta: 4, C: 9.813, V: 0.080, U: 0.000, change: 0.020
opt_iter: 150, opt_time: 11.7 (s), beta: 8, C: 8.056, V: 0.067, U: 0.000, change: 0.020
opt_iter: 151, opt_time: 10.9 (s), beta: 8, C: 7.365, V: 0.070, U: 0.000, change: 0.020
opt_iter: 152, opt_time: 11.2 (s), beta: 8, C: 6.676, V: 0.074, U: 0.000, change: 0.020
opt_iter: 153, opt_time: 11.2 (s), beta: 8, C: 6.081, V: 0.078, U: 0.000, change: 0.020
opt_iter: 154, opt_time: 10.9 (s), beta: 8, C: 5.776, V: 0.080, U: 0.000, change: 0.020
opt_iter: 155, opt_time: 10.4 (s), beta: 8, C: 5.758, V: 0.080, U: 0.000, change: 0.020
opt_iter: 156, opt_time: 10.7 (s), beta: 8, C: 5.744, V: 0.080, U: 0.000, change: 0.020
opt_iter: 157, opt_time: 10.9 (s), beta: 8, C: 5.732, V: 0.080, U: 0.000, change: 0.020
opt_iter: 158, opt_time: 10.9 (s), beta: 8, C: 5.721, V: 0.080, U: 0.000, change: 0.020
opt_iter: 159, opt_time: 10.5 (s), beta: 8, C: 5.712, V: 0.080, U: 0.000, change: 0.020
opt_iter: 160, opt_time: 10.9 (s), beta: 8, C: 5.703, V: 0.080, U: 0.000, change: 0.020
opt_iter: 161, opt_time: 10.7 (s), beta: 8, C: 5.695, V: 0.080, U: 0.000, change: 0.020
opt_iter: 162, opt_time: 10.9 (s), beta: 8, C: 5.687, V: 0.080, U: 0.000, change: 0.020
opt_iter: 163, opt_time: 10.4 (s), beta: 8, C: 5.680, V: 0.080, U: 0.000, change: 0.020
opt_iter: 164, opt_time: 11 (s), beta: 8, C: 5.673, V: 0.080, U: 0.000, change: 0.020
opt_iter: 165, opt_time: 11.1 (s), beta: 8, C: 5.666, V: 0.080, U: 0.000, change: 0.020
opt_iter: 166, opt_time: 11 (s), beta: 8, C: 5.660, V: 0.080, U: 0.000, change: 0.020
opt_iter: 167, opt_time: 10.5 (s), beta: 8, C: 5.654, V: 0.080, U: 0.000, change: 0.020
opt_iter: 168, opt_time: 11.1 (s), beta: 8, C: 5.648, V: 0.080, U: 0.000, change: 0.020
opt_iter: 169, opt_time: 11.1 (s), beta: 8, C: 5.642, V: 0.080, U: 0.000, change: 0.020
opt_iter: 170, opt_time: 11 (s), beta: 8, C: 5.637, V: 0.080, U: 0.000, change: 0.020
opt_iter: 171, opt_time: 10.5 (s), beta: 8, C: 5.632, V: 0.080, U: 0.000, change: 0.020
